"director","content_type","content_count","avg_quality_score","genres_worked_in","first_release_year","latest_release_year","recent_works_count","years_active","rank_by_volume"
"Khaled Marei","Movie","5","1.0","[Comedies, Dramas]","2008","2019","0","11","63"
"Kıvanç Baruönü","Movie","5","1.0","[Comedies]","2014","2018","0","4","64"
"Leslie Small","Movie","5","1.0","[Children & Family Movies, Stand-Up Comedy, Comedies]","2016","2020","0","4","65"
"Lynn Shelton","Movie","5","1.0","[Stand-Up Comedy, Comedies, Dramas]","2014","2020","0","6","66"
"Madhur Bhandarkar","Movie","5","1.0","[Dramas]","2007","2015","0","8","67"
"Mahesh Manjrekar","Movie","5","1.0","[Dramas]","2002","2019","0","17","68"
"Mani Ratnam","Movie","5","1.0","[Dramas]","1995","2015","0","20","69"
"Manny Rodriguez","Movie","5","1.0","[Stand-Up Comedy]","2006","2019","0","13","70"
"Martin Campbell","Movie","5","1.0","[Action & Adventure]","1995","2017","0","22","71"
"Mike Clattenburg","Movie","5","1.0","[Comedies, Movies]","1998","2009","0","11","72"
"Nagesh Kukunoor","Movie","5","1.0","[Comedies, Dramas]","2001","2015","0","14","73"
"Niyi Akinmolayan","Movie","5","1.0","[Comedies, Dramas]","2016","2019","0","3","74"
"Paul Thomas Anderson","Movie","5","1.0","[Comedies, Dramas]","1997","2019","0","22","75"
"Prakash Jha","Movie","5","1.0","[Dramas]","2003","2013","0","10","76"
"Priyadarshan","Movie","5","1.0","[Action & Adventure, Comedies, Dramas]","2006","2016","0","10","77"
"Rajiv Mehra","Movie","5","1.0","[Action & Adventure, Comedies, Dramas]","1983","1995","0","12","78"
"Riri Riza","Movie","5","1.0","[Children & Family Movies, Dramas]","2005","2016","0","11","79"
"Rocky Soraya","Movie","5","1.0","[Horror Movies]","2016","2019","0","3","80"
"Rohit Shetty","Movie","5","1.0","[Action & Adventure, Comedies]","2006","2015","0","9","81"
"Spike Lee","Movie","5","1.0","[Classic Movies, Stand-Up Comedy, Action & Adventure, Comedies, Dramas]","1988","2020","0","32","82"
"Steve Brill","Movie","5","1.0","[Stand-Up Comedy, Comedies]","2000","2020","0","20","83"
"Thierry Donard","Movie","5","1.0","[Action & Adventure]","2014","2018","0","4","84"
"Umesh Mehra","Movie","5","1.0","[Action & Adventure, Dramas]","1986","1998","0","12","85"
"Vince Marcello","Movie","5","1.0","[Children & Family Movies, Comedies]","2012","2021","1","9","86"
